Episode, Total Reward, Epsilon, Best Reward
1, 20.00, 1.0000, 20.00
2, 20.00, 1.0000, 20.00
3, 0.00, 1.0000, 20.00
4, -10.00, 1.0000, 20.00
5, -10.00, 1.0000, 20.00
6, -10.00, 1.0000, 20.00
7, -10.00, 1.0000, 20.00
8, -10.00, 1.0000, 20.00
9, 0.00, 1.0000, 20.00
10, -10.00, 1.0000, 20.00
11, -10.00, 1.0000, 20.00
12, 0.00, 1.0000, 20.00
13, -10.00, 1.0000, 20.00
14, -10.00, 1.0000, 20.00
15, 50.00, 1.0000, 50.00
16, -10.00, 1.0000, 50.00
17, -10.00, 1.0000, 50.00
18, -10.00, 1.0000, 50.00
19, -10.00, 1.0000, 50.00
20, -10.00, 1.0000, 50.00
21, 0.00, 1.0000, 50.00
22, -10.00, 1.0000, 50.00
23, -10.00, 1.0000, 50.00
24, -10.00, 1.0000, 50.00
25, -10.00, 1.0000, 50.00
26, -10.00, 1.0000, 50.00
27, -10.00, 1.0000, 50.00
28, 0.00, 1.0000, 50.00
29, -10.00, 1.0000, 50.00
30, -10.00, 1.0000, 50.00
31, -10.00, 1.0000, 50.00
32, 20.00, 1.0000, 50.00
33, -10.00, 1.0000, 50.00
34, 0.00, 1.0000, 50.00
35, -10.00, 1.0000, 50.00
36, 0.00, 1.0000, 50.00
37, -10.00, 1.0000, 50.00
38, -10.00, 1.0000, 50.00
39, -10.00, 1.0000, 50.00
40, -10.00, 1.0000, 50.00
41, -10.00, 1.0000, 50.00
42, -10.00, 1.0000, 50.00
43, 0.00, 1.0000, 50.00
44, 20.00, 1.0000, 50.00
45, -10.00, 1.0000, 50.00
46, -10.00, 1.0000, 50.00
47, -10.00, 1.0000, 50.00
48, -10.00, 1.0000, 50.00
49, 0.00, 1.0000, 50.00
50, -10.00, 1.0000, 50.00
51, -10.00, 1.0000, 50.00
52, -10.00, 1.0000, 50.00
53, -10.00, 1.0000, 50.00
54, -10.00, 1.0000, 50.00
55, -10.00, 1.0000, 50.00
56, -10.00, 1.0000, 50.00
57, 0.00, 1.0000, 50.00
58, -10.00, 1.0000, 50.00
59, -10.00, 1.0000, 50.00
60, -10.00, 1.0000, 50.00
61, -10.00, 1.0000, 50.00
62, -10.00, 1.0000, 50.00
63, 0.00, 1.0000, 50.00
64, -10.00, 1.0000, 50.00
65, -10.00, 1.0000, 50.00
66, 0.00, 1.0000, 50.00
67, -10.00, 1.0000, 50.00
68, -10.00, 1.0000, 50.00
69, -10.00, 1.0000, 50.00
70, 0.00, 1.0000, 50.00
71, 0.00, 1.0000, 50.00
72, -10.00, 1.0000, 50.00
73, 0.00, 1.0000, 50.00
74, -10.00, 1.0000, 50.00
75, -10.00, 1.0000, 50.00
76, -10.00, 1.0000, 50.00
77, 0.00, 1.0000, 50.00
78, 0.00, 1.0000, 50.00
79, 0.00, 1.0000, 50.00
80, -10.00, 1.0000, 50.00
81, -10.00, 1.0000, 50.00
82, 0.00, 1.0000, 50.00
83, 0.00, 1.0000, 50.00
84, -10.00, 1.0000, 50.00
85, 20.00, 1.0000, 50.00
86, -10.00, 1.0000, 50.00
87, -10.00, 1.0000, 50.00
88, -10.00, 1.0000, 50.00
89, -10.00, 1.0000, 50.00
90, -10.00, 1.0000, 50.00
91, -10.00, 1.0000, 50.00
92, -10.00, 1.0000, 50.00
93, -10.00, 1.0000, 50.00
94, 0.00, 1.0000, 50.00
95, -10.00, 1.0000, 50.00
96, -10.00, 1.0000, 50.00
97, -10.00, 1.0000, 50.00
98, -10.00, 1.0000, 50.00
99, -10.00, 1.0000, 50.00
100, -10.00, 1.0000, 50.00
101, 0.00, 1.0000, 50.00
102, 0.00, 1.0000, 50.00
103, -10.00, 1.0000, 50.00
104, -10.00, 1.0000, 50.00
105, -10.00, 1.0000, 50.00
106, -10.00, 1.0000, 50.00
107, -10.00, 1.0000, 50.00
108, -10.00, 1.0000, 50.00
109, -10.00, 1.0000, 50.00
110, 0.00, 1.0000, 50.00
111, -10.00, 1.0000, 50.00
112, -10.00, 1.0000, 50.00
113, -10.00, 1.0000, 50.00
114, 20.00, 1.0000, 50.00
115, 0.00, 1.0000, 50.00
116, 0.00, 1.0000, 50.00
117, 20.00, 1.0000, 50.00
118, -10.00, 1.0000, 50.00
119, -10.00, 1.0000, 50.00
120, -10.00, 1.0000, 50.00
121, -10.00, 1.0000, 50.00
122, 0.00, 1.0000, 50.00
123, 0.00, 1.0000, 50.00
124, -10.00, 1.0000, 50.00
125, -10.00, 1.0000, 50.00
126, 50.00, 1.0000, 50.00
127, -10.00, 1.0000, 50.00
128, -10.00, 1.0000, 50.00
129, -10.00, 1.0000, 50.00
130, -10.00, 1.0000, 50.00
131, 0.00, 1.0000, 50.00
132, -10.00, 1.0000, 50.00
133, -10.00, 1.0000, 50.00
134, 0.00, 1.0000, 50.00
135, 0.00, 1.0000, 50.00
136, -10.00, 1.0000, 50.00
137, -10.00, 1.0000, 50.00
138, -10.00, 1.0000, 50.00
139, 0.00, 1.0000, 50.00
140, -10.00, 1.0000, 50.00
141, -10.00, 1.0000, 50.00
142, -10.00, 1.0000, 50.00
143, -10.00, 1.0000, 50.00
144, -10.00, 1.0000, 50.00
145, -10.00, 1.0000, 50.00
146, 0.00, 1.0000, 50.00
147, -10.00, 1.0000, 50.00
148, -10.00, 1.0000, 50.00
149, -10.00, 1.0000, 50.00
150, -10.00, 1.0000, 50.00
151, -10.00, 1.0000, 50.00
152, -10.00, 1.0000, 50.00
153, -10.00, 1.0000, 50.00
